sample_name	Experimental_Category 	FACS_Marker	cell_type	treatment	treatment_length	cell_count	organism	protocol	instrument_model	read_length	single_or_paired	flowcell	lane	success					data_processed
CORE_KBM7_500_1	titration	NA	KBM7	NA	NA	500	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_KBM7_500_2.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_negative_control_1	titration	NA	negative	NA	NA	0	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_negative_control_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_HL60_500_1	titration	NA	HL60	NA	NA	500	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_HL60_500_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_HL60_500_2	titration	NA	HL60	NA	NA	500	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_HL60_500_2.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_K562_10_1	titration	NA	K562	NA	NA	10	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_K562_10.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_K562_1_1	titration	NA	K562	NA	NA	1	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_K562_1_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_K562_1_2	titration	NA	K562	NA	NA	1	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_K562_1_2.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_K562_4	titration	NA	K562	NA	NA	4	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_K562_4.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_K562_500_1	titration	NA	K562	NA	NA	500	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_K562_500_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_K562_500_2	titration	NA	K562	NA	NA	500	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_K562_500_2.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_K562_50	titration	NA	K562	NA	NA	50	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_K562_50.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_KBM7_500_1	titration	NA	KBM7	NA	NA	500	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_KBM7_500_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_KBM7_500_1	titration	NA	KBM7	NA	NA	500	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_KBM7_500_2.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
EG_negative_control_1	titration	NA	negative	NA	NA	0	human	EG	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	7	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00044_EG_for_COREseq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_7_EG_negative_control_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
SMART_HL60_500_1	titration	NA	HL60	NA	NA	500	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_HL60_500_2	titration	NA	HL60	NA	NA	500	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_K562_10_1	titration	NA	K562	NA	NA	10	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_K562_1_1	titration	NA	K562	NA	NA	1	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_K562_1_2	titration	NA	K562	NA	NA	1	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
CORE_K562_4	titration	NA	K562	NA	NA	4	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_K562_500_1	titration	NA	K562	NA	NA	500	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_K562_500_2	titration	NA	K562	NA	NA	500	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_K562_50	titration	NA	K562	NA	NA	50	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_KBM7_500_1	titration	NA	KBM7	NA	NA	500	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_KBM7_500_1	titration	NA	KBM7	NA	NA	500	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
SMART_negative_control_1	titration	NA	negative	NA	NA	0	human	SMART	Hiseq 2000	50	single	BSF_0132_C5JE7ACXX	5	1					
HL60_500_3	titration	NA	HL60	NA	NA	500	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
HL60_500_4	titration	NA	HL60	NA	NA	500	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
K562_4_2	titration	NA	K562	NA	NA	4	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
K562_4_3	titration	NA	K562	NA	NA	4	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
K562_1_3	titration	NA	K562	NA	NA	1	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
K562_1_4	titration	NA	K562	NA	NA	1	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
K562_1_5	titration	NA	K562	NA	NA	1	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
K562_1_6	titration	NA	K562	NA	NA	1	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
K562_1_7	titration	NA	K562	NA	NA	1	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
CORE_negative_control_2	titration	NA	negative	NA	NA	0	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
CORE_negative_control_3	titration	NA	negative	NA	NA	0	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
CORE_negative_control_4	titration	NA	negative	NA	NA	0	human	CORE	Hiseq 2500	250	paired-end	BSF_0136_H273GBCXX	1+2	1					
CORE_Monocyte_1_1	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_1_2	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_1_3	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_1_4	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_1_5	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_1_6	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_1_7	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_1_8	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_1_9	Blood	CD14+	Monocyte	NA	NA	1	human	CORE											
CORE_Monocyte_10_1	Blood	CD14+	Monocyte	NA	NA	10	human	CORE											
CORE_Monocyte_10_2	Blood	CD14+	Monocyte	NA	NA	10	human	CORE											
CORE_Blood_negative_control_1	Blood	NA	negative	NA	NA	0	human	CORE											
CORE_TCell_1_1	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_1_2	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_1_3	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_1_4	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_1_5	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_1_6	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_1_7	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_1_8	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_1_9	Blood	CD3+	TCell	NA	NA	1	human	CORE											
CORE_TCell_10_1	Blood	CD3+	TCell	NA	NA	10	human	CORE											
CORE_TCell_10_2	Blood	CD3+	TCell	NA	NA	10	human	CORE											
CORE_Blood_negative_control_2	Blood	NA	negative	NA	NA	0	human	CORE											
CORE_BCell_1_1	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_1_2	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_1_3	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_1_4	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_1_5	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_1_6	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_1_7	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_1_8	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_1_9	Blood	CD19+	BCell	NA	NA	1	human	CORE											
CORE_BCell_10_1	Blood	CD19+	BCell	NA	NA	10	human	CORE											
CORE_BCell_10_2	Blood	CD19+	BCell	NA	NA	10	human	CORE											
CORE_Blood_negative_control_3	Blood	NA	negative	NA	NA	0	human	CORE											
CORE_Granulocyte_1_1	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_1_2	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_1_3	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_1_4	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_1_5	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_1_6	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_1_7	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_1_8	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_1_9	Blood	NA	Granulocyte	NA	NA	1	human	CORE											
CORE_Granulocyte_10_1	Blood	NA	Granulocyte	NA	NA	10	human	CORE											
CORE_Granulocyte_10_2	Blood	NA	Granulocyte	NA	NA	10	human	CORE											
CORE_Blood_negative_control_4	Blood	NA	negative	NA	NA	0	human	CORE											
CORE_Monocyte_1_1	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_1_2	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_1_3	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_1_4	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_1_5	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_1_6	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_1_7	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_1_8	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_1_9	Blood	CD115+	Monocyte	NA	NA	1	mouse	CORE											
CORE_Monocyte_10_1	Blood	CD115+	Monocyte	NA	NA	10	mouse	CORE											
CORE_Monocyte_10_2	Blood	CD115+	Monocyte	NA	NA	10	mouse	CORE											
CORE_Blood_negative_control_1	Blood	NA	negative	NA	NA	0	mouse	CORE											
CORE_TCell_1_1	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_1_2	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_1_3	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_1_4	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_1_5	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_1_6	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_1_7	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_1_8	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_1_9	Blood	CD3+	TCell	NA	NA	1	mouse	CORE											
CORE_TCell_10_1	Blood	CD3+	TCell	NA	NA	10	mouse	CORE											
CORE_TCell_10_2	Blood	CD3+	TCell	NA	NA	10	mouse	CORE											
CORE_Blood_negative_control_2	Blood	NA	negative	NA	NA	0	mouse	CORE											
CORE_BCell_1_1	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_1_2	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_1_3	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_1_4	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_1_5	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_1_6	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_1_7	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_1_8	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_1_9	Blood	CD19+	BCell	NA	NA	1	mouse	CORE											
CORE_BCell_10_1	Blood	CD19+	BCell	NA	NA	10	mouse	CORE											
CORE_BCell_10_2	Blood	CD19+	BCell	NA	NA	10	mouse	CORE											
CORE_Blood_negative_control_3	Blood	NA	negative	NA	NA	0	mouse	CORE											
CORE_Granulocyte_1_1	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_1_2	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_1_3	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_1_4	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_1_5	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_1_6	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_1_7	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_1_8	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_1_9	Blood	NA	Granulocyte	NA	NA	1	mouse	CORE											
CORE_Granulocyte_10_1	Blood	NA	Granulocyte	NA	NA	10	mouse	CORE											
CORE_Granulocyte_10_2	Blood	NA	Granulocyte	NA	NA	10	mouse	CORE											
CORE_Blood_negative_control_4	Blood	NA	negative	NA	NA	0	mouse	CORE											
CORE_CMP_1_1	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_1_2	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_1_3	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_1_4	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_1_5	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_1_6	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_1_7	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_1_8	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_1_9	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	human	CORE											
CORE_CMP_10_1	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	10	human	CORE											
CORE_CMP_10_2	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	10	human	CORE											
CORE_Precursor_negative_control_1	Precursor	NA	negative	NA	NA	0	human	CORE											
CORE_CLP_1_1	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_1_2	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_1_3	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_1_4	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_1_5	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_1_6	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_1_7	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_1_8	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_1_9	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	human	CORE											
CORE_CLP_10_1	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	10	human	CORE											
CORE_CLP_10_2	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	10	human	CORE											
CORE_Precursor_negative_control_2	Precursor	NA	negative	NA	NA	0	human	CORE											
CORE_LMPP_1_1	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_1_2	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_1_3	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_1_4	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_1_5	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_1_6	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_1_7	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_1_8	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_1_9	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	human	CORE											
CORE_LMPP_10_1	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	10	human	CORE											
CORE_LMPP_10_2	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	10	human	CORE											
CORE_Precursor_negative_control_3	Precursor	NA	negative	NA	NA	0	human	CORE											
CORE_CMP_1_1	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_1_2	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_1_3	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_1_4	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_1_5	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_1_6	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_1_7	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_1_8	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_1_9	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	1	mouse	CORE											
CORE_CMP_10_1	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	10	mouse	CORE											
